time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
2748, 3484, 10.110714, 0.272939, -2.006341, 0.017054, -0.048496, 0.060753, 32.930000
2758, 4010, 9.945514, 0.296881, -2.037466, 0.017320, -0.066616, 0.077807, 32.924118
2768, 2320, 9.809045, 0.335188, -2.073379, 0.003730, -0.084469, 0.096459, 32.924118
2778, 1763, 9.770737, 0.390255, -2.090138, -0.007194, -0.097792, 0.099124, 32.918236
2788, 1662, 9.689334, 0.462081, -2.111686, 0.004263, -0.093262, 0.097525, 32.918236
2798, 1676, 9.627085, 0.526724, -2.114080, 0.027712, -0.075142, 0.101522, 32.909412
2808, 1621, 9.583989, 0.598550, -2.106898, 0.050628, -0.053292, 0.120441, 32.924118
2818, 1625, 9.574412, 0.608127, -2.221819, 0.063951, -0.053825, 0.126836, 32.915295
2828, 1666, 9.646238, 0.624887, -2.513912, 0.063685, -0.046897, 0.128968, 32.909412
2838, 1671, 9.871294, 0.531513, -2.513912, 0.066349, -0.050361, 0.110848, 32.924118
2848, 1608, 10.084377, 0.411803, -2.422932, 0.087666, -0.100456, 0.091130, 32.918236
2858, 1648, 10.084377, 0.299275, -2.439692, 0.114312, -0.151884, 0.086334, 32.909412
2868, 1712, 10.055647, 0.296881, -2.470816, 0.124971, -0.175066, 0.090331, 32.909412
2878, 1683, 10.093954, 0.292093, -2.509123, 0.105786, -0.186524, 0.097259, 32.912354
2888, 1718, 10.096349, 0.282516, -2.401384, 0.063152, -0.203044, 0.103121, 32.903530
2898, 1725, 9.974244, 0.301669, -2.267309, 0.016521, -0.221697, 0.106319, 32.909412
2908, 1733, 9.806650, 0.318429, -2.255338, -0.020251, -0.208907, 0.097259, 32.909412
2918, 1829, 9.670180, 0.383072, -2.303222, -0.041835, -0.176132, 0.080205, 32.906471
2928, 1831, 9.629479, 0.423774, -2.413355, -0.047697, -0.144956, 0.057822, 32.930000
2938, 1819, 9.691729, 0.438139, -2.528277, -0.031176, -0.139626, 0.042101, 32.932941
2948, 1828, 9.694122, 0.409408, -2.691083, -0.004796, -0.141758, 0.034640, 32.944706
2958, 1841, 9.655815, 0.325611, -2.700660, 0.031176, -0.146288, 0.031709, 32.935883
2968, 1762, 9.574412, 0.232238, -2.583344, 0.059954, -0.143090, 0.046897, 32.921177
2978, 1712, 9.437943, 0.059855, -2.410961, 0.060753, -0.112980, 0.060487, 32.927059
2988, 1585, 9.284714, -0.150835, -2.264915, 0.035173, -0.053026, 0.058089, 32.930000
2998, 1459, 9.184157, -0.304064, -2.240973, -0.011724, 0.019185, 0.054358, 32.927059
3008, 1332, 9.212888, -0.500388, -2.161964, -0.066349, 0.069014, 0.044499, 32.941765
3018, 1232, 9.289502, -0.478840, -2.200271, -0.103387, 0.115378, 0.050095, 32.927059
3028, 1137, 9.279925, -0.179565, -2.262521, -0.126303, 0.197449, 0.034640, 32.938824
3038, 1132, 9.131485, 0.153229, -2.250550, -0.191054, 0.269660, 0.029311, 32.944706
3048, 1221, 9.102755, 0.325611, -2.221819, -0.205443, 0.271259, 0.014389, 32.941765
3058, 1346, 9.265560, 0.486023, -2.461239, -0.171069, 0.248609, -0.010658, 32.930000
3068, 1559, 9.277532, 0.493206, -2.561796, -0.138294, 0.277387, -0.034640, 32.938824
3078, 1730, 9.315839, 0.464475, -2.559402, -0.117510, 0.323752, -0.051161, 32.932941
3088, 1833, 9.358934, 0.416591, -2.418144, -0.110582, 0.334677, -0.039969, 32.927059
3098, 1959, 9.454702, 0.445322, -2.504335, -0.125770, 0.345602, -0.007994, 32.930000
3108, 1958, 9.698911, 0.373495, -2.485181, -0.156680, 0.358126, 0.016787, 32.932941
3118, 1975, 9.991004, 0.280122, -2.365471, -0.182260, 0.320288, 0.017587, 32.935883
3128, 2030, 10.292673, 0.208296, -2.284068, -0.192119, 0.258735, 0.002931, 32.924118
3138, 2000, 10.417171, 0.160412, -2.245761, -0.178796, 0.200113, -0.021583, 32.941765
